letter,frequency
a,0.66223
b,0.07750
c,0.83423
d,0.05206
e,0.63513
f,0.83152
g,0.19083
h,0.00093
i,0.35134
j,0.83865
k,0.40386
l,0.20160
m,0.51250
n,0.92236
o,0.34469
p,0.13499
q,0.81671
r,0.25732
s,0.02328
t,0.15731
u,0.61898
v,0.86928
w,0.28932
x,0.26345
y,0.35724
z,0.63386
aa,0.59184
ab,0.16521
ac,0.56908
ad,0.66891
ae,0.90618
af,0.94622
ag,0.09459
ah,0.14373
ai,0.80617
aj,0.91290
ak,0.89344
al,0.62802
am,0.05330
an,0.12543
ao,0.21039
ap,0.24429
aq,0.15289
ar,0.54493
as,0.19213
at,0.10848
au,0.83799
av,0.90924
aw,0.00621
ax,0.67022
ay,0.35082
az,0.32852
ba,0.90732
bb,0.00027
bc,0.64485
bd,0.38298
be,0.86052
bf,0.73982
bg,0.39006
bh,0.75314
bi,0.43492
bj,0.36540
bk,0.06366
bl,0.58548
bm,0.26493
bn,0.23819
bo,0.64637
bp,0.35086
bq,0.08820
br,0.05923
bs,0.91266
bt,0.84346
bu,0.30288
bv,0.68673
bw,0.96561
bx,0.56760
by,0.71387
bz,0.93822
ca,0.42451
cb,0.91689
cc,0.74967
cd,0.21859
ce,0.96665
cf,0.96172
cg,0.80297
ch,0.01441
ci,0.37271
cj,0.03537
ck,0.00846
cl,0.08530
cm,0.37597
cn,0.74359
co,0.83669
cp,0.98128
cq,0.07687
cr,0.74058
cs,0.75830
ct,0.72786
cu,0.20445
cv,0.64583
cw,0.84488
cx,0.25611
cy,0.25918
cz,0.98431
da,0.98112
db,0.55682
dc,0.07918
dd,0.57717
de,0.86148
df,0.66609
dg,0.48451
dh,0.77252
di,0.70324
dj,0.52677
dk,0.09534
dl,0.85883
dm,0.61531
dn,0.20493
do,0.21233
dp,0.70794
dq,0.52606
dr,0.25625
ds,0.07159
dt,0.50992
du,0.67951
dv,0.75132
dw,0.93607
dx,0.18647
dy,0.93303
dz,0.56405
ea,0.39357
eb,0.92855
ec,0.24112
ed,0.41412
ee,0.20801
ef,0.15998
eg,0.77165
eh,0.19623
ei,0.55787
ej,0.78607
ek,0.10242
el,0.71075
em,0.36494
en,0.87628
eo,0.72729
ep,0.59775
eq,0.74003
er,0.61961
es,0.38785
et,0.71289
eu,0.14511
ev,0.17835
ew,0.41638
ex,0.72344
ey,0.91461
ez,0.73000
fa,0.29493
fb,0.30938
fc,0.68744
fd,0.86993
fe,0.40646
ff,0.70643
fg,0.47706
fh,0.39742
fi,0.58687
fj,0.19825
fk,0.84504
fl,0.37905
fm,0.57317
fn,0.14065
fo,0.38862
fp,0.09558
fq,0.60778
fr,0.91558
fs,0.63043
ft,0.22828
fu,0.93412
fv,0.47760
fw,0.72991
fx,0.16813
fy,0.65544
fz,0.54379
ga,0.50378
gb,0.28844
gc,0.97128
gd,0.34985
ge,0.72843
gf,0.90654
gg,0.67819
gh,0.99119
gi,0.11849
gj,0.82047
gk,0.81639
gl,0.16553
gm,0.34236
gn,0.67982
go,0.65546
gp,0.14553
gq,0.52125
gr,0.62962
gs,0.33038
gt,0.55817
gu,0.65061
gv,0.89933
gw,0.06368
gx,0.35320
gy,0.95695
gz,0.19937
ha,0.39490
hb,0.31266
hc,0.80297
hd,0.45547
he,0.40409
hf,0.94195
